1	Williams College	威廉姆斯学院	Massachusetts
2	Stanford University	斯坦福大学	California
3	Swarthmore College	斯沃斯莫尔学院	Pennsylvania
4	Princeton University	普林斯顿大学	New Jersey
5	Massachusetts Institute of Technology	麻省理工学院	Massachusetts
6	Yale University	耶鲁大学	Connecticut
7	Harvard University	哈佛大学	Massachusetts
8	Pomona College	波莫纳学院	California
9	United States Military Academy	美国军事学院	New York
10	Amherst College	阿默斯特学院	Massachusetts
11	Haverford College	哈弗福德学院	Pennsylvania
12	University of Pennsylvania	宾夕法尼亚大学	Pennsylvania
13	Brown University	布朗大学	Rhode Island
14	Bowdoin College	鲍登学院	Maine
15	Wesleyan University	卫斯理大学	Connecticut
16	Carleton College	卡尔顿学院	Minnesota
17	University of Notre Dame	圣母大学	Indiana
18	Dartmouth College	达特茅斯学院	New Hampshire
19	Northwestern University	美国西北大学	Illinois
20	Columbia University	哥伦比亚大学	New York
21	California Institute of Technology	加利福尼亚理工学院	California
22	Davidson College	大卫森学院	North Carolina
23	Duke University	杜克大学	North Carolina
24	University of Chicago	芝加哥大学	Illinois
25	Tufts University	塔夫斯大学	Massachusetts
26	Vassar College	瓦萨学院	New York
27	United States Naval Academy	美国海军学院	Maryland
28	Georgetown University	乔治敦大学	District of Columbia
29	Wellesley College	韦尔斯利学院	Massachusetts
30	Middlebury College	明德学院	Vermont
31	Cornell University	康奈尔大学	New York
32	Rice University	莱斯大学	Texas
33	Washington and Lee University	华盛顿与李大学	Virginia
34	United States Air Force Academy	美国空军学院	Colorado
35	Barnard College	巴纳德学院	New York
36	Boston College	波士顿学院	Massachusetts
37	University of California Berkeley	加州大学伯克利分校	California
38	Colgate University	科尔盖特大学	New York
39	Colby College	柯比学院	Maine
40	University of Virginia	弗吉尼亚大学	Virginia
41	College of William and Mary	威廉和玛丽学院	Virginia
42	Kenyon College	凯尼恩学院	Ohio
43	Oberlin College	欧柏林学院	Ohio
44	University of California Los Angeles	加州大学洛杉矶分校	California
45	University of Michigan Ann Arbor	密歇根州安娜堡大学	Michigan
46	Reed College	里德学院	Oregon
47	Whitman College	惠特曼学院	Washington
48	Lafayette College	拉斐特学院	Pennsylvania
49	Smith College	史密斯学院	Massachusetts
50	University of North Carolina Chapel Hill	北卡罗莱纳州教堂山大学	North Carolina
51	Colorado College	科罗拉多学院	Colorado
52	Harvey Mudd College	哈维穆德学院	California
53	College of the Holy Cross	圣十字学院	Massachusetts
54	Vanderbilt University	范德比尔特大学	Tennessee
55	Hamilton College	汉密尔顿学院	New York
56	Franklin and Marshall College	富兰克林和马歇尔学院	Pennsylvania
57	Union College	美国联合学院	New York
58	Grinnell College	格林内尔学院	Iowa
59	Carnegie Mellon University	卡内基·梅隆大学	Pennsylvania
60	Bates College	贝茨学院	Maine
61	Wake Forest University	维克森林大学	North Carolina
62	University of Rochester	罗切斯特大学	New York
63	Washington University in Saint Louis	华盛顿大学圣路易斯	Missouri
64	Cooper Union	库珀联盟学院	New York
65	Bryn Mawr College	布林莫尔学院	Pennsylvania
66	Macalester College	马卡莱斯特学院	Minnesota
67	Johns Hopkins University	约翰·霍普金斯大学	Maryland
68	University of Illinois Urbana Champaign	伊利诺伊大学厄本纳香槟分校	Illinois
69	Scripps College	斯克里普斯学院	California
70	University of Wisconsin Madison	美国威斯康星大学麦迪逊分校	Wisconsin
71	Villanova University	维拉诺瓦大学	Pennsylvania
72	New York University	纽约大学	New York
73	University of Washington	华盛顿大学	Washington
74	Brandeis University	美国布兰迪斯大学	Massachusetts
75	Wheaton College	惠顿学院 伊利诺伊	Illinois
76	University of Texas Austin	得克萨斯大学奥斯汀分校	Texas
77	Lehigh University	利哈伊大学	Pennsylvania
78	University of Southern California	南加州大学	California
79	Brigham Young University	杨百翰大学	Utah
80	Occidental College	西方学院 美国	California
81	Centre College	森特学院	Kentucky
82	University of Maryland College Park	马里兰大学帕克分校	Maryland
83	Trinity College	美国三一学院	Connecticut
84	Connecticut College	康涅狄格学院	Connecticut
85	Wofford College	沃福德大学	South Carolina
86	Santa Clara University	圣塔克拉拉大学	California
87	University of Florida	佛罗里达大学	Florida
88	Dickinson College	迪金森学院	Pennsylvania
89	Boston University	波士顿大学	Massachusetts
90	Georgia Institute of Technology	佐治亚理工学院	Georgia
91	DePauw University	美国德堡大学	Indiana
92	Earlham College	厄勒姆学院	Indiana
93	Rhodes College	罗德学院	Tennessee
94	University of Georgia	乔治亚大学	Georgia
95	Denison University	丹尼森大学	Ohio
96	University of Richmond	里奇蒙大学	Virginia
97	Mount Holyoke College	曼荷莲女子文理学院	Massachusetts
98	Sewanee University of the South	西沃恩南方大学	Tennessee
99	Sarah Lawrence College	莎拉·劳伦斯学院	New York
100	Furman University	弗曼大学	South Carolina
101	Southern Methodist University	南方卫理公会大学	Texas
102	Skidmore College	斯基德莫尔学院	New York
103	Gettysburg College	葛底斯堡学院	Pennsylvania
104	Pitzer College	匹泽学院	California
105	Providence College	普罗维登斯学院	Rhode Island
106	Lawrence University	劳伦斯大学	Wisconsin
107	Indiana University Bloomington	印地安那大学伯明顿分校	Indiana
108	University of Minnesota Twin Cities	明尼苏达双城大学	Minnesota
109	Saint Olaf College	圣奥拉夫学院	Minnesota
110	Hampshire College	罕布什尔学院	Massachusetts
111	Kalamazoo College	卡拉马祖学院	Michigan
112	Pepperdine University	佩珀代因大学	California
113	University of California Davis	美国加州大学戴维斯分校	California
114	United States Coast Guard Academy	美国海岸警卫学院	Connecticut
115	Lewis & Clark College	路易克拉克大学	Oregon
116	University of California Santa Barbara	加利福尼亚大学圣塔芭芭拉分校	California
117	Virginia Tech	弗吉尼亚理工大学	Virginia
118	University of Colorado Boulder	科罗拉多大学波尔得分校	Colorado
119	Purdue University West Lafayette	普渡大学西拉法叶校区	Indiana
120	Yeshiva University	叶史瓦大学	New York
121	Muhlenberg College	穆伦堡学院	Pennsylvania
122	George Washington University	乔治华盛顿大学	District of Columbia
123	University of Redlands	雷德兰兹大学	California
124	College of the Atlantic	大西洋学院	Maine
125	Bennington College	本宁顿学院	Vermont
126	University of California San Diego	加利福尼亚大学圣地亚哥分校	California
127	Case Western Reserve University	凯斯西储大学	Ohio
128	University of Miami	迈阿密大学	Florida
129	Virginia Military Institute	弗吉尼亚军事学院	Virginia
130	Willamette University	威拉米特大学	Oregon
131	Rensselaer Polytechnic Institute	伦斯勒理工学院	New York
132	Trinity University	美国三一大学	Texas
133	Juniata College	杰尼阿塔学院	Pennsylvania
134	American University	美国大学 American University	District of Columbia
135	University of Delaware	特拉华大学	Delaware
136	College of Wooster	伍斯特学院	Ohio
137	Texas A&M University College Station	德克萨斯农工大学	Texas
138	Saint Lawrence University	圣劳伦斯大学	New York
139	University of Denver	丹佛大学	Colorado
140	University of Vermont	佛蒙特大学	Vermont
141	University of Utah	犹他大学	Utah
142	Presbyterian College	长老会学院	South Carolina
143	Drake University	德雷克大学	Iowa
144	University of California Irvine	加州大学欧文分校	California
145	Ohio Wesleyan University	俄亥俄卫斯理大学	Ohio
146	Clark University	克拉克大学	Massachusetts
147	Tulane University	杜兰大学	Louisiana
148	Grove City College	格罗夫城市学院	Pennsylvania
149	Knox College	诺克斯学院	Illinois
150	Fordham University	福特汉姆大学	New York
151	Saint Michael's College	圣迈克尔学院	Vermont
152	Hendrix College	亨德里克斯学院	Arkansas
153	Colorado School of Mines	科罗拉多矿业学院	Colorado
154	Bard College	巴德学院	New York
155	Ohio State University Columbus	俄亥俄州立大学哥伦布分校	Ohio
156	Creighton University	克赖顿大学	Nebraska
157	California Polytechnic State University	加州州立理工大学	California
158	Syracuse University	雪城大学	New York
159	Thomas Aquinas College	托马斯阿奎那斯学院	California
160	Hobart and William Smith Colleges	霍巴特和威廉史密斯学院	New York
161	Westmont College	韦斯特蒙特学院	California
162	Saint John's College	圣约翰学院 马里兰州	Maryland
163	Clemson University	克莱姆森大学	South Carolina
164	University of Connecticut	康涅狄格大学	Connecticut
165	Beloit College	伯洛伊特学院	Wisconsin
166	Pennsylvania State University University Park	宾夕法尼亚州立大学大学城分校	Pennsylvania
167	North Carolina State University Raleigh	北卡罗莱纳州立大学罗利分校	North Carolina
168	College of New Jersey	新泽西学院	New Jersey
169	Michigan State University	密歇根州立大学	Michigan
170	Loyola University Maryland	洛约拉大学马里兰分校	Maryland
171	Hampden Sydney College	汉普顿悉尼学院	Virginia
172	Hope College	霍普学院	Michigan
173	Worcester Polytechnic Institute	伍斯特理工学院	Massachusetts
174	Binghamton University	宾厄姆顿大学	New York
175	Wheaton College	惠顿学院 马萨诸塞州	Massachusetts
176	Miami University Oxford	迈阿密大学牛津分校	Ohio
177	Rutgers University New Brunswick	罗格斯大学 新不伦瑞克	New Jersey
178	Hillsdale College	希尔斯代尔学院	Michigan
179	Wabash College	瓦巴什学院	Indiana
180	New College of Florida	新佛罗里达学院	Florida
181	University of Puget Sound	普吉特湾大学	Washington
182	Elon University	依隆大学	North Carolina
183	Loyola Marymount University	洛约拉马利蒙特大学	California
184	Transylvania University	特兰西瓦尼亚大学	Kentucky
185	University of New Hampshire	新罕布什尔大学	New Hampshire
186	University of South Carolina Columbia	南卡罗来纳大学哥伦比亚	South Carolina
187	University of Portland	波特兰大学	Oregon
188	James Madison University	詹姆斯·麦迪逊大学	Virginia
189	Saint Anselm College	圣安瑟伦学院	New Hampshire
190	Louisiana State University	路易斯安那州立大学	Louisiana
191	Saint Louis University	圣路易斯大学	Missouri
192	University of Iowa	爱荷华大学	Iowa
193	Ursinus College	尤西纽斯学院 	Pennsylvania
194	College of the Ozarks	奥沙克学院	Missouri
195	Baylor University	贝勒大学	Texas
196	Bentley University	本特利大学	Massachusetts
197	Southwestern University	西南大学 美国	Texas
198	University of Pittsburgh	匹兹堡大学	Pennsylvania
199	Manhattan College	曼哈顿学院	New York
200	University of Wyoming	怀俄明大学	Wyoming
201	Gustavus Adolphus College	古斯塔夫阿道尔夫学院	Minnesota
202	University of Oklahoma Norman	俄克拉何马州诺曼大学	Oklahoma
203	Samford University	桑福德大学	Alabama
204	Auburn University	奥本大学	Alabama
205	Carroll College	卡罗尔学院	Montana
206	The Catholic University of America	美国天主教大学	District of Columbia
207	Saint Mary's College	马里兰州圣玛丽学院	Maryland
208	Marquette University	马凯特大学	Wisconsin
209	Northeastern University	美国东北大学	Massachusetts
210	Wittenberg University	维滕贝格大学	Ohio
211	United States Merchant Marine Academy	美国商船学院	New York
212	University of Dallas	达拉斯大学	Texas
213	University of Tulsa	塔尔萨大学	Oklahoma
214	University of San Francisco	旧金山大学	California
215	City College	纽约城市大学城市学院	New York
216	Texas Christian University	德克萨斯基督教大学	Texas
217	Saint John's University	圣约翰大学 明尼苏达	Minnesota
218	University of California Santa Cruz	加利福尼亚大学圣塔克鲁兹分校	California
219	Saint Mary's College	加州圣玛丽学院	California
220	Calvin College	卡尔文学院	Michigan
221	Stonehill College	斯通希尔学院	Massachusetts
222	University of Massachusetts Amherst	马萨诸塞大学阿默斯特分校	Massachusetts
223	University of San Diego	圣地亚哥大学	California
224	Rollins College	罗林斯学院	Florida
225	Allegheny College	阿勒格尼学院	Pennsylvania
226	Florida State University	佛罗里达州立大学	Florida
227	Saint Joseph's University	圣约瑟夫大学	Pennsylvania
228	Emerson College	爱默生学院	Massachusetts
229	University of Saint Thomas	圣托马斯大学	Minnesota
230	University of Missouri Columbia	密苏里大学哥伦比亚分校	Missouri
231	Whitworth University	惠氏大学	Washington
232	George Mason University	乔治·梅森大学	Virginia
233	Clarkson University	克拉克森大学	New York
234	Fairfield University	费尔菲尔德大学	Connecticut
235	University of Oregon	俄勒冈大学	Oregon
236	Lake Forest College	森林湖学院	Illinois
237	Luther College	路德学院	Iowa
238	Gonzaga University	冈萨加大学	Washington
239	Butler University	巴特勒大学	Indiana
240	Linfield College	林菲尔德学院	Oregon
241	College of Environmental Science and Forestry	纽约州立大学环境科学与林业科学学院	New York
242	University of Dayton	代顿大学	Ohio
243	Saint Mary's College	圣玛丽学院	Indiana
244	Baruch College	纽约市立大学巴鲁克学院	New York
245	Sweet Briar College	斯威特布赖尔学院	Virginia
246	Truman State University	杜鲁门州立大学	Missouri
247	Illinois Institute of Technology	伊利诺理工大学	Illinois
248	Augustana College	奥古斯塔纳学院 伊利诺伊州	Illinois
249	Stony Brook University	纽约州立大学石溪分校	New York
250	University of Arizona	亚利桑那大学	Arizona
251	John Carroll University	约翰 卡罗尔大学	Ohio
252	The Citadel	塞特多大学	South Carolina
253	Illinois Wesleyan University	伊利诺伊州卫斯理大学	Illinois
254	Agnes Scott College	阿格尼斯斯科特学院	Georgia
255	University of Mary Washington	玛丽华盛顿大学	Virginia
256	Fisk University	费斯克大学	Tennessee
257	Taylor University	泰勒大学	Indiana
258	Hanover College	汉诺威学院	Indiana
259	Rockhurst University	罗克赫斯特大学	Missouri
260	College of Idaho	爱达荷大学	Idaho
261	Iowa State University	爱荷华州立大学	Iowa
262	San Diego State University	圣地亚哥州立大学	California
263	University of California Riverside	加州大学河滨分校	California
264	Pacific Lutheran University	太平洋路德大学	Washington
265	University of Scranton	斯克兰顿大学	Pennsylvania
266	Seattle University	西雅图大学	Washington
267	Saint Norbert College	圣诺伯特学院	Wisconsin
268	Bryant University	布莱恩特大学	Rhode Island
269	State University of New York at Geneseo	纽约州立大学杰纳苏分校	New York
270	Valparaiso University	瓦尔帕莱索大学	Indiana
271	Austin College	奥斯汀学院	Texas
272	Ithaca College	伊萨卡学院	New York
273	California State Polytechnic University Pomona	加州州立理工大学波莫纳分校	California
274	Ohio Northern University	北俄亥俄大学	Ohio
275	Elizabethtown College	伊丽莎白学院	Pennsylvania
276	Pacific University	太平洋大学 俄勒冈	Oregon
277	Whittier College	惠蒂尔学院	California
278	Bradley University	布拉德利大学	Illinois
279	College of Saint Benedict	圣本笃学院	Minnesota
280	University of Nebraska Lincoln	内布拉斯加大学林肯分校	Nebraska
281	California Lutheran University	加州路德大学	California
282	Covenant College	圣约学院	Georgia
283	Washington College	华盛顿学院	Maryland
284	Hunter College	纽约市立大学亨特学院	New York
285	Goucher College	古彻学院	Maryland
286	University at Buffalo	纽约州立大学布法罗分校	New York
287	Cedarville University	锡达维尔大学	Ohio
288	Westminster College	威斯特敏斯特学院 密苏里	Missouri
289	Queens College	纽约市立大学皇后学院	New York
290	Westminster College	威斯特敏斯特学院 宾州	Pennsylvania
291	Mills College	米尔斯学院	California
292	University of Tennessee Knoxville	田纳西州诺克斯维尔大学	Tennessee
293	University of Arkansas	阿肯色大学	Arkansas
294	Doane College	多恩学院	Nebraska
295	Asbury University	阿斯伯里大学	Kentucky
296	Touro College	图罗学院	New York
297	University of Kansas	堪萨斯大学	Kansas
298	Cornell College	康奈尔学院	Iowa
299	Simmons College	西蒙斯学院	Massachusetts
300	Montana State University Bozeman	蒙大拿州立大学波兹曼分校	Montana
301	Utah State University	犹他州立大学	Utah
302	The Master's College	美国马斯特学院与神学院	California
303	Stevens Institute of Technology	史蒂文斯理工学院	New Jersey
304	Duquesne University	杜肯大学	Pennsylvania
305	Quinnipiac University	昆尼皮亚克大学	Connecticut
306	Lebanon Valley College	黎巴嫩谷学院	Pennsylvania
307	University of Evansville	埃文斯维尔大学	Indiana
308	Ripon College	里彭学院	Wisconsin
309	Western Washington University	西华盛顿大学	Washington
310	Colorado State University	科罗拉多州立大学	Colorado
311	Albion College	阿尔比恩学院	Michigan
312	Loyola University Chicago	芝加哥洛约拉大学	Illinois
313	Goshen College	戈申学院	Indiana
314	Spelman College	斯佩尔曼学院	Georgia
315	Houghton College	霍顿学院	New York
316	Union University	美国联合大学	Tennessee
317	Ouachita Baptist University	沃希托浸会大学	Arkansas
318	Nebraska Wesleyan University	内布拉斯加卫斯理大学	Nebraska
319	Susquehanna University	萨斯奎汉纳大学	Pennsylvania
320	DePaul University	德保罗大学	Illinois
321	Chapman University	查普曼大学	California
322	Xavier University	泽维尔大学	Ohio
323	Oregon State University	俄勒冈州立大学	Oregon
324	Marist College	圣母大学	New York
325	Wesleyan College Macon	卫斯理学院	Georgia
326	Seattle Pacific University	西雅图太平洋大学	Washington
327	Drexel University	德雷塞尔大学	Pennsylvania
328	University of Northwestern St. Paul	西北大学圣保罗分校	Minnesota
329	Drew University	德鲁大学	New Jersey
330	Siena College	锡耶纳学院	New York
331	Seton Hall University	西顿霍尔大学	New Jersey
332	Northwestern College	西北学院 爱荷华	Iowa
333	Millsaps College	米尔萨普学院	Mississippi
334	Erskine College	厄斯金学院	South Carolina
335	University of Alabama	阿拉巴马大学	Alabama
336	University of Kentucky	肯塔基大学	Kentucky
337	Marlboro College	万宝路学院	Vermont
338	California State University Fullerton	加州州立大学富尔顿分校	California
339	Coe College	柯伊学院	Iowa
340	New School New York	美国新学院大学	New York
